2025-07-05 22:22:21,528 - INFO - 変換開始: 入力ファイル='plantsch BOMつき.csv', 出力ファイル='202507052222_supabase_plantsch BOMつき.csv'
2025-07-05 22:22:21,546 - INFO - UTF-8 BOMを除去しました。
2025-07-05 22:22:21,546 - INFO - ファイルは 'utf-8' エンコーディングで正常に読み込まれました。
2025-07-05 22:22:21,547 - INFO - SUPABASE用CSVヘッダーを定義しました: ['room_name', 'start_datetime', 'end_datetime', 'purpose_detail']
2025-07-05 22:22:21,547 - INFO - 最終ヘッダーで'purpose_detail'カラムをインデックス 3 で検出しました。
2025-07-05 22:22:21,547 - INFO - 開始日、開始時刻、終了日、終了時刻のインデックスを正常に取得しました。
2025-07-05 22:22:21,555 - INFO - 会議室名検出: '１００１会議室（仙台合同庁舎１０階西／仙台地方振興事務所）'
2025-07-05 22:22:21,566 - INFO - SUPABASE形式変換: 2025/04/14 08:30 → 2025-04-14T08:30:00+09:00
2025-07-05 22:22:21,567 - INFO - SUPABASE形式変換: 2025/04/14 17:00 → 2025-04-14T17:00:00+09:00
2025-07-05 22:22:21,567 - INFO - 開始日時: 2025/04/14 08:30 → 2025-04-14T08:30:00+09:00
2025-07-05 22:22:21,567 - INFO - 終了日時: 2025/04/14 17:00 → 2025-04-14T17:00:00+09:00
2025-07-05 22:22:21,567 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-04-14T08:30:00+09:00', '2025-04-14T17:00:00+09:00', '×']
2025-07-05 22:22:21,568 - INFO - SUPABASE形式変換: 2025/04/15 08:30 → 2025-04-15T08:30:00+09:00
2025-07-05 22:22:21,568 - INFO - SUPABASE形式変換: 2025/04/15 17:00 → 2025-04-15T17:00:00+09:00
2025-07-05 22:22:21,568 - INFO - 開始日時: 2025/04/15 08:30 → 2025-04-15T08:30:00+09:00
2025-07-05 22:22:21,568 - INFO - 終了日時: 2025/04/15 17:00 → 2025-04-15T17:00:00+09:00
2025-07-05 22:22:21,568 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-04-15T08:30:00+09:00', '2025-04-15T17:00:00+09:00', '×']
2025-07-05 22:22:21,568 - INFO - SUPABASE形式変換: 2025/04/19 00:00 → 2025-04-19T00:00:00+09:00
2025-07-05 22:22:21,569 - INFO - 時刻修正: 2025/04/19 24:00 → 2025/04/20 00:00
2025-07-05 22:22:21,569 - INFO - SUPABASE形式変換: 2025/04/19 24:00 → 2025-04-20T00:00:00+09:00
2025-07-05 22:22:21,569 - INFO - 開始日時: 2025/04/19 00:00 → 2025-04-19T00:00:00+09:00
2025-07-05 22:22:21,569 - INFO - 終了日時: 2025/04/19 24:00 → 2025-04-20T00:00:00+09:00
2025-07-05 22:22:21,569 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-04-19T00:00:00+09:00', '2025-04-20T00:00:00+09:00', '×']
2025-07-05 22:22:21,569 - INFO - SUPABASE形式変換: 2025/04/21 08:30 → 2025-04-21T08:30:00+09:00
2025-07-05 22:22:21,569 - INFO - SUPABASE形式変換: 2025/04/21 17:00 → 2025-04-21T17:00:00+09:00
2025-07-05 22:22:21,569 - INFO - 開始日時: 2025/04/21 08:30 → 2025-04-21T08:30:00+09:00
2025-07-05 22:22:21,569 - INFO - 終了日時: 2025/04/21 17:00 → 2025-04-21T17:00:00+09:00
2025-07-05 22:22:21,569 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-04-21T08:30:00+09:00', '2025-04-21T17:00:00+09:00', '×']
2025-07-05 22:22:21,570 - INFO - SUPABASE形式変換: 2025/04/22 08:30 → 2025-04-22T08:30:00+09:00
2025-07-05 22:22:21,570 - INFO - SUPABASE形式変換: 2025/04/22 17:00 → 2025-04-22T17:00:00+09:00
2025-07-05 22:22:21,570 - INFO - 開始日時: 2025/04/22 08:30 → 2025-04-22T08:30:00+09:00
2025-07-05 22:22:21,570 - INFO - 終了日時: 2025/04/22 17:00 → 2025-04-22T17:00:00+09:00
2025-07-05 22:22:21,570 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-04-22T08:30:00+09:00', '2025-04-22T17:00:00+09:00', '×']
2025-07-05 22:22:21,570 - INFO - SUPABASE形式変換: 2025/04/23 08:30 → 2025-04-23T08:30:00+09:00
2025-07-05 22:22:21,570 - INFO - SUPABASE形式変換: 2025/04/23 17:00 → 2025-04-23T17:00:00+09:00
2025-07-05 22:22:21,570 - INFO - 開始日時: 2025/04/23 08:30 → 2025-04-23T08:30:00+09:00
2025-07-05 22:22:21,570 - INFO - 終了日時: 2025/04/23 17:00 → 2025-04-23T17:00:00+09:00
